Fatec,Ano,Semestre,Curso,Periodo,Inscritos,Vagas,Demanda
Fatec Mauá,2014,2,Polímeros,Noite,109,40,2.73
Fatec Mauá,2015,1,Fabricação Mecânica,Manhã,130,40,3.25
Fatec Mauá,2015,1,Fabricação Mecânica,Noite,270,40,6.75
Fatec Mauá,2015,1,Informática Para Negócios,Noite,245,40,6.13
Fatec Mauá,2015,1,Informática Para Negócios,Tarde,65,40,1.63
Fatec Mauá,2015,1,Logística,Manhã,117,40,2.93
Fatec Mauá,2015,1,Logística,Noite,267,40,6.68
Fatec Mauá,2015,1,Polímeros,Noite,136,40,3.40
Fatec Mauá,2015,2,Fabricação Mecânica,Manhã,92,40,2.30
Fatec Mauá,2015,2,Fabricação Mecânica,Noite,212,40,5.30
Fatec Mauá,2015,2,Gestão Empresarial,Ensino A Distância,186,40,4.65
Fatec Mauá,2015,2,Informática Para Negócios,Noite,245,40,6.13
Fatec Mauá,2015,2,Informática Para Negócios,Tarde,60,40,1.50
Fatec Mauá,2015,2,Logística,Manhã,109,40,2.73
Fatec Mauá,2015,2,Logística,Noite,243,40,6.08
Fatec Mauá,2015,2,Polímeros,Noite,129,40,3.23
Fatec Mauá,2016,1,Fabricação Mecânica,Manhã,108,40,2.70
Fatec Mauá,2016,1,Fabricação Mecânica,Noite,278,40,6.95
Fatec Mauá,2016,1,Gestão Empresarial,Ensino A Distância,189,40,4.73
Fatec Mauá,2016,1,Informática Para Negócios,Manhã,90,40,2.25
Fatec Mauá,2016,1,Informática Para Negócios,Noite,206,40,5.15
Fatec Mauá,2016,1,Logística,Manhã,141,40,3.53
Fatec Mauá,2016,1,Logística,Noite,298,40,7.45
Fatec Mauá,2016,1,Polímeros,Noite,133,40,3.33
Fatec Mauá,2016,2,Fabricação Mecânica,Manhã,81,40,2.03
Fatec Mauá,2016,2,Fabricação Mecânica,Noite,251,40,6.28
Fatec Mauá,2016,2,Gestão Empresarial,Ensino A Distância,193,40,4.83
Fatec Mauá,2016,2,Informática Para Negócios,Manhã,90,40,2.25
Fatec Mauá,2016,2,Informática Para Negócios,Noite,192,40,4.80
Fatec Mauá,2016,2,Logística,Manhã,98,40,2.45
Fatec Mauá,2016,2,Logística,Noite,234,40,5.85
Fatec Mauá,2016,2,Polímeros,Noite,97,40,2.43
Fatec Mauá,2017,1,Fabricação Mecânica,Manhã,79,40,1.98
Fatec Mauá,2017,1,Fabricação Mecânica,Noite,206,40,5.15
Fatec Mauá,2017,1,Gestão Empresarial,Ensino A Distância,236,40,5.90
Fatec Mauá,2017,1,Informática Para Negócios,Manhã,102,40,2.55
Fatec Mauá,2017,1,Informática Para Negócios,Noite,182,40,4.55
Fatec Mauá,2017,1,Logística,Manhã,104,40,2.60
Fatec Mauá,2017,1,Logística,Noite,237,40,5.93
Fatec Mauá,2017,1,Polímeros,Noite,129,40,3.23
Fatec Mauá,2017,2,Fabricação Mecânica,Manhã,94,40,2.35
Fatec Mauá,2017,2,Fabricação Mecânica,Noite,196,40,4.90
Fatec Mauá,2017,2,Gestão Empresarial,Ensino A Distância,187,20,9.35
Fatec Mauá,2017,2,Informática Para Negócios,Manhã,87,40,2.18
Fatec Mauá,2017,2,Informática Para Negócios,Noite,144,40,3.60
Fatec Mauá,2017,2,Logística,Manhã,110,40,2.75
Fatec Mauá,2017,2,Logística,Noite,228,40,5.70
Fatec Mauá,2017,2,Polímeros,Noite,107,40,2.68
Fatec Mauá,2018,1,Fabricação Mecânica,Manhã,96,40,2.40
Fatec Mauá,2018,1,Fabricação Mecânica,Noite,206,40,5.15
Fatec Mauá,2018,1,Informática Para Negócios,Manhã,137,40,3.43
Fatec Mauá,2018,1,Informática Para Negócios,Noite,201,40,5.03
Fatec Mauá,2018,1,Logística,Manhã,129,40,3.23
Fatec Mauá,2018,1,Logística,Noite,268,40,6.70
Fatec Mauá,2018,1,Polímeros,Noite,137,40,3.43
Fatec Mauá,2018,2,Fabricação Mecânica,Manhã,92,40,2.30
Fatec Mauá,2018,2,Fabricação Mecânica,Noite,221,40,5.53
Fatec Mauá,2018,2,Informática Para Negócios,Manhã,92,40,2.30
Fatec Mauá,2018,2,Informática Para Negócios,Noite,176,40,4.40
Fatec Mauá,2018,2,Logística,Manhã,133,40,3.33
Fatec Mauá,2018,2,Logística,Noite,296,40,7.40
Fatec Mauá,2018,2,Polímeros,Noite,111,40,2.78
Fatec Mauá,2019,1,Desenvolvimento De Produtos Plásticos,Manhã,51,40,1.28
Fatec Mauá,2019,1,Fabricação Mecânica,Manhã,83,40,2.08
Fatec Mauá,2019,1,Fabricação Mecânica,Noite,246,40,6.15
Fatec Mauá,2019,1,Informática Para Negócios,Manhã,94,40,2.35
Fatec Mauá,2019,1,Informática Para Negócios,Noite,232,40,5.80
Fatec Mauá,2019,1,Logística,Manhã,124,40,3.10
Fatec Mauá,2019,1,Logística,Noite,330,40,8.25
Fatec Mauá,2019,1,Polímeros,Noite,132,40,3.30
Fatec Mauá,2019,2,Fabricação Mecânica,Manhã,81,40,2.03
Fatec Mauá,2019,2,Fabricação Mecânica,Noite,239,40,5.98
Fatec Mauá,2019,2,Informática Para Negócios,Manhã,104,40,2.60
Fatec Mauá,2019,2,Informática Para Negócios,Noite,206,40,5.15
Fatec Mauá,2019,2,Logística,Manhã,123,40,3.08
Fatec Mauá,2019,2,Logística,Noite,248,40,6.20
Fatec Mauá,2019,2,Polímeros,Noite,135,40,3.38
Fatec Mauá,2020,1,Fabricação Mecânica,Manhã,83,40,2.08
Fatec Mauá,2020,1,Fabricação Mecânica,Noite,181,40,4.53
Fatec Mauá,2020,1,Informática Para Negócios,Manhã,112,40,2.80
Fatec Mauá,2020,1,Informática Para Negócios,Noite,207,40,5.18
Fatec Mauá,2020,1,Logística,Manhã,132,40,3.30
Fatec Mauá,2020,1,Logística,Noite,288,40,7.20
Fatec Mauá,2020,1,Polímeros,Noite,137,40,3.43
Fatec Mauá,2020,2,Desenvolvimento De Produtos Plásticos,Manhã,53,40,1.33
Fatec Mauá,2020,2,Fabricação Mecânica,Manhã,95,40,2.38
Fatec Mauá,2020,2,Fabricação Mecânica,Noite,285,40,7.13
Fatec Mauá,2020,2,Informática Para Negócios,Manhã,152,40,3.80
Fatec Mauá,2020,2,Informática Para Negócios,Noite,400,40,10.00
Fatec Mauá,2020,2,Logística,Manhã,213,40,5.33
Fatec Mauá,2020,2,Logística,Noite,510,40,12.75
Fatec Mauá,2020,2,Polímeros,Noite,175,40,4.38
Fatec Mauá,2021,1,Desenvolvimento De Produtos Plásticos,Manhã,41,40,1.03
Fatec Mauá,2021,1,Fabricação Mecânica,Manhã,97,40,2.43
Fatec Mauá,2021,1,Fabricação Mecânica,Noite,195,40,4.88
Fatec Mauá,2021,1,Gestão Empresarial,Ead,472,40,11.80
Fatec Mauá,2021,1,Informática Para Negócios,Manhã,110,40,2.75
Fatec Mauá,2021,1,Informática Para Negócios,Noite,224,40,5.60
Fatec Mauá,2021,1,Logística,Manhã,161,40,4.03
Fatec Mauá,2021,1,Logística,Noite,380,40,9.50
Fatec Mauá,2021,1,Polímeros,Noite,108,40,2.70
Fatec Mauá,2021,2,Desenvolvimento De Produtos Plásticos,Manhã,47,40,1.18
Fatec Mauá,2021,2,Fabricação Mecânica,Manhã,82,40,2.05
Fatec Mauá,2021,2,Fabricação Mecânica,Noite,167,40,4.18
Fatec Mauá,2021,2,Gestão Empresarial,Ead,422,40,10.55
Fatec Mauá,2021,2,Informática Para Negócios,Manhã,101,40,2.53
Fatec Mauá,2021,2,Informática Para Negócios,Noite,198,40,4.95
Fatec Mauá,2021,2,Logística,Manhã,140,40,3.50
Fatec Mauá,2021,2,Logística,Noite,347,40,8.68
Fatec Mauá,2021,2,Polímeros,Noite,83,40,2.08
Fatec Mauá,2022,1,Desenvolvimento De Software Multiplataforma,Noite,381,40,9.53
Fatec Mauá,2022,1,Fabricação Mecânica,Manhã,72,40,1.80
Fatec Mauá,2022,1,Fabricação Mecânica,Noite,168,40,4.20
Fatec Mauá,2022,1,Gestão Empresarial,Ead,417,20,20.85
Fatec Mauá,2022,1,Informática Para Negócios,Manhã,111,40,2.78
